Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Tyler Glasnow,P,LAD,10500,20.4,PPG_Projection,20.4,20.4,,,,,,,,,,
Carlos Rodon,P,NYY,10300,17.4,PPG_Projection,17.4,17.4,,,,,,,,,,
Myles Straw,OF,TOR,3000,17.343397439468575,ML_Model,17.343397439468575,5.4,93.9%,82.1%,61.5%,37.0%,16.9%,5.7%,1.4%,0.2%,0.0%,0.0%
Mookie Betts,SS,LAD,5200,16.55745909475703,ML_Model,16.55745909475703,9.7,92.6%,79.4%,57.7%,33.3%,14.6%,4.6%,1.1%,0.2%,0.0%,0.0%
Kody Clemens,1B,MIN,3300,16.51289944645557,ML_Model,16.51289944645557,6.9,92.5%,79.2%,57.5%,33.1%,14.4%,4.6%,1.0%,0.2%,0.0%,0.0%
Jorge Soler,OF,LAA,3600,16.450762250827843,ML_Model,16.450762250827843,1.5,92.4%,79.0%,57.2%,32.9%,14.3%,4.5%,1.0%,0.2%,0.0%,0.0%
Gabriel Moreno,C,ARI,4200,16.147192559769515,ML_Model,16.147192559769515,7.4,91.8%,77.9%,55.7%,31.5%,13.4%,4.2%,0.9%,0.1%,0.0%,0.0%
Jo Adell,OF,LAA,4700,15.73482694462918,ML_Model,15.73482694462918,9.2,91.0%,76.3%,53.7%,29.7%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%
Shane Bieber,P,TOR,10100,15.2,PPG_Projection,15.2,15.2,,,,,,,,,,
Brice Matthews,2B,HOU,3100,15.185737477998009,ML_Model,15.185737477998009,1.5,89.9%,74.2%,50.9%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%
Coby Mayo,1B,BAL,2400,14.918243220281076,ML_Model,14.918243220281076,6.2,89.2%,73.1%,49.6%,26.3%,10.4%,3.0%,0.6%,0.1%,0.0%,0.0%
Framber Valdez,P,HOU,9200,14.9,PPG_Projection,14.9,14.9,,,,,,,,,,
George Kirby,P,SEA,9900,14.8,PPG_Projection,14.8,14.8,,,,,,,,,,
Jack Leiter,P,TEX,8000,14.8,PPG_Projection,14.8,14.8,,,,,,,,,,
Yu Darvish,P,SD,7400,14.5,PPG_Projection,14.5,14.5,,,,,,,,,,
Jerar Encarnacion,OF,SF,2800,14.487484251264185,ML_Model,14.487484251264185,1.5,88.2%,71.3%,47.4%,24.5%,9.4%,2.6%,0.5%,0.1%,0.0%,0.0%
Salvador Perez,C,KC,4100,14.315956692828454,ML_Model,14.315956692828454,7.4,87.8%,70.5%,46.6%,23.9%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%
Aaron Nola,P,PHI,7600,14.3,PPG_Projection,14.3,14.3,,,,,,,,,,
Yainer Diaz,C,HOU,3100,13.968784149714814,ML_Model,13.968784149714814,6.5,86.9%,69.0%,44.9%,22.5%,8.4%,2.3%,0.4%,0.1%,0.0%,0.0%
Zac Gallen,P,ARI,8000,13.9,PPG_Projection,13.9,13.9,,,,,,,,,,
Otto Kemp,3B,PHI,3100,13.890797328349004,ML_Model,13.890797328349004,1.5,86.7%,68.7%,44.5%,22.3%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%
Kyle Schwarber,OF,PHI,5800,13.656429363954445,ML_Model,13.656429363954445,9.5,86.0%,67.6%,43.3%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%
Brandon Marsh,OF,PHI,3400,13.429306503018664,ML_Model,13.429306503018664,8.8,85.4%,66.6%,42.2%,20.6%,7.4%,1.9%,0.4%,0.0%,0.0%,0.0%
Junior Caminero,3B,TB,5800,13.417566878813764,ML_Model,13.417566878813764,8.0,85.4%,66.5%,42.2%,20.5%,7.4%,1.9%,0.3%,0.0%,0.0%,0.0%
Trea Turner,SS,PHI,4600,13.326177563384524,ML_Model,13.326177563384524,1.5,85.1%,66.1%,41.7%,20.2%,7.2%,1.9%,0.3%,0.0%,0.0%,0.0%
Patrick Bailey,C,SF,2500,13.306086678459495,ML_Model,13.306086678459495,4.9,85.0%,66.0%,41.6%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%
Caleb Durbin,3B,MIL,3600,13.289476514543962,ML_Model,13.289476514543962,6.9,85.0%,66.0%,41.5%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%
Geraldo Perdomo,SS,ARI,5200,13.23266203139816,ML_Model,13.23266203139816,8.7,84.8%,65.7%,41.3%,19.9%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%
Mickey Moniak,OF,COL,4100,12.978500901000425,ML_Model,12.978500901000425,9.5,84.1%,64.5%,40.0%,19.0%,6.6%,1.7%,0.3%,0.0%,0.0%,0.0%
Logan Allen,P,CLE,7200,12.8,PPG_Projection,12.8,12.8,,,,,,,,,,
Christopher Morel,OF,TB,3700,12.757878123173835,ML_Model,12.757878123173835,6.7,83.4%,63.5%,39.0%,18.3%,6.3%,1.6%,0.3%,0.0%,0.0%,0.0%
Tristan Gray,2B,TB,3400,12.736369110815168,ML_Model,12.736369110815168,1.5,83.3%,63.4%,38.9%,18.2%,6.3%,1.5%,0.3%,0.0%,0.0%,0.0%
Zach Cole,OF,HOU,2500,12.659556152219396,ML_Model,12.659556152219396,5.6,83.1%,63.0%,38.5%,17.9%,6.1%,1.5%,0.3%,0.0%,0.0%,0.0%
Bailey Ober,P,MIN,6900,12.6,PPG_Projection,12.6,12.6,,,,,,,,,,
Marcus Semien,2B,TEX,3500,12.554623508984392,ML_Model,12.554623508984392,1.5,82.7%,62.5%,38.0%,17.6%,6.0%,1.5%,0.3%,0.0%,0.0%,0.0%
Jordan Westburg,3B,BAL,4500,12.497878677039411,ML_Model,12.497878677039411,8.4,82.6%,62.3%,37.7%,17.4%,5.9%,1.4%,0.2%,0.0%,0.0%,0.0%
Slade Cecconi,P,CLE,7500,12.4,PPG_Projection,12.4,12.4,,,,,,,,,,
Fernando Tatis Jr.,OF,SD,5500,12.399196387376978,ML_Model,12.399196387376978,10.3,82.2%,61.8%,37.3%,17.1%,5.8%,1.4%,0.2%,0.0%,0.0%,0.0%
Shohei Ohtani,1B,LAD,6700,12.360873670212168,ML_Model,12.360873670212168,12.3,82.1%,61.6%,37.1%,17.0%,5.7%,1.4%,0.2%,0.0%,0.0%,0.0%
Tyler Black,1B,MIL,2700,12.244903904042305,ML_Model,12.244903904042305,1.5,81.7%,61.0%,36.5%,16.6%,5.5%,1.3%,0.2%,0.0%,0.0%,0.0%
Cal Raleigh,C,SEA,6400,12.103290780942462,ML_Model,12.103290780942462,8.0,81.3%,60.4%,35.9%,16.2%,5.3%,1.3%,0.2%,0.0%,0.0%,0.0%
Davis Schneider,2B,TOR,3500,12.06600686263962,ML_Model,12.06600686263962,7.1,81.1%,60.2%,35.7%,16.1%,5.3%,1.2%,0.2%,0.0%,0.0%,0.0%
Bryce Harper,1B,PHI,5200,12.017537136923696,ML_Model,12.017537136923696,9.9,81.0%,60.0%,35.5%,15.9%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%
Adrian Houser,P,TB,7800,11.9,PPG_Projection,11.9,11.9,,,,,,,,,,
Graham Pauley,3B,MIA,2200,11.756407702540097,ML_Model,11.756407702540097,1.5,80.1%,58.7%,34.3%,15.1%,4.9%,1.1%,0.2%,0.0%,0.0%,0.0%
Noah Cameron,P,KC,8700,11.7,PPG_Projection,11.7,11.7,,,,,,,,,,
Kyle Harrison,P,BOS,6600,11.7,PPG_Projection,11.7,11.7,,,,,,,,,,
Nick Loftin,3B,KC,2200,11.28674757312534,ML_Model,11.28674757312534,1.5,78.4%,56.4%,32.1%,13.8%,4.3%,1.0%,0.2%,0.0%,0.0%,0.0%
George Springer,OF,TOR,5400,11.02598262437411,ML_Model,11.02598262437411,9.1,77.4%,55.1%,31.0%,13.1%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%
Vinnie Pasquantino,1B,KC,4500,10.882231269570743,ML_Model,10.882231269570743,8.6,76.9%,54.4%,30.3%,12.7%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%
Andrew Vaughn,1B,MIL,3300,10.816387841039068,ML_Model,10.816387841039068,1.5,76.6%,54.1%,30.1%,12.5%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%
Max Kepler,OF,PHI,3500,10.67554319418956,ML_Model,10.67554319418956,6.9,76.1%,53.4%,29.4%,12.2%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%
Yoendrys Gomez,P,CWS,6300,10.6,PPG_Projection,10.6,10.6,,,,,,,,,,
Eric Wagaman,1B,MIA,3200,10.50351262086702,ML_Model,10.50351262086702,7.4,75.4%,52.5%,28.7%,11.8%,3.5%,0.7%,0.1%,0.0%,0.0%,0.0%
Jorge Polanco,2B,SEA,4300,10.229848677039143,ML_Model,10.229848677039143,6.5,74.3%,51.1%,27.5%,11.1%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%
Harrison Bader,OF,PHI,4000,10.136827531283831,ML_Model,10.136827531283831,8.8,74.0%,50.7%,27.2%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%
James McCann,C,ARI,3000,10.118408937472246,ML_Model,10.118408937472246,6.1,73.9%,50.6%,27.1%,10.8%,3.1%,0.6%,0.1%,0.0%,0.0%,0.0%
Tomoyuki Sugano,P,BAL,6800,10.1,PPG_Projection,10.1,10.1,,,,,,,,,,
Xavier Edwards,2B,MIA,4000,10.068676569380663,ML_Model,10.068676569380663,6.2,73.7%,50.3%,26.9%,10.7%,3.1%,0.6%,0.1%,0.0%,0.0%,0.0%
Ryan Fitzgerald,3B,MIN,2800,9.822628296425233,ML_Model,9.822628296425233,5.1,72.7%,49.1%,25.9%,10.2%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%
Kai-Wei Teng,P,SF,6100,9.8,PPG_Projection,9.8,9.8,,,,,,,,,,
Maikel Garcia,3B,KC,4800,9.680802245381363,ML_Model,9.680802245381363,7.0,72.1%,48.4%,25.3%,9.9%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%
Jackson Chourio,OF,MIL,5200,9.679016993931905,ML_Model,9.679016993931905,9.0,72.1%,48.4%,25.3%,9.9%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%
Josh Naylor,1B,SEA,4700,9.44521820326355,ML_Model,9.44521820326355,7.2,71.1%,47.2%,24.4%,9.4%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
Blaine Crim,1B,COL,3400,9.409751199625967,ML_Model,9.409751199625967,7.5,70.9%,47.1%,24.2%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
German Marquez,P,COL,4800,9.4,PPG_Projection,9.4,9.4,,,,,,,,,,
Adam Mazur,P,MIA,6000,9.4,PPG_Projection,9.4,9.4,,,,,,,,,,
Jonathan Aranda,1B,TB,3900,9.39145113609684,ML_Model,9.39145113609684,1.5,70.8%,47.0%,24.2%,9.2%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%
Freddie Freeman,1B,LAD,4600,9.281875530957238,ML_Model,9.281875530957238,9.6,70.4%,46.4%,23.7%,9.0%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%
Bobby Witt Jr.,SS,KC,5800,9.218885889116228,ML_Model,9.218885889116228,9.7,70.1%,46.1%,23.5%,8.9%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%
Jose Ramirez,3B,CLE,5600,9.2,PPG_Projection,9.2,9.2,,,,,,,,,,
Willson Contreras,1B,STL,4000,9.179003498285777,ML_Model,9.179003498285777,1.5,69.9%,45.9%,23.3%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%
Miguel Rojas,2B,LAD,2600,9.173326787597532,ML_Model,9.173326787597532,1.5,69.9%,45.9%,23.3%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%
Christian Walker,1B,HOU,3500,9.096617699157752,ML_Model,9.096617699157752,6.2,69.6%,45.5%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Austin Wells,C,NYY,3500,9.007085198550017,ML_Model,9.007085198550017,6.5,69.2%,45.1%,22.7%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Chad Patrick,P,MIL,8300,9.0,PPG_Projection,9.0,9.0,,,,,,,,,,
Luis Robert Jr.,OF,CWS,4400,8.971451738376881,ML_Model,8.971451738376881,1.5,69.0%,44.9%,22.6%,8.4%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%
Jazz Chisholm Jr.,2B,NYY,5400,8.958142431287179,ML_Model,8.958142431287179,8.3,69.0%,44.8%,22.5%,8.4%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
James Outman,OF,MIN,2100,8.933616865153446,ML_Model,8.933616865153446,5.2,68.9%,44.7%,22.4%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Willy Adames,SS,SF,4200,8.922289868860217,ML_Model,8.922289868860217,6.8,68.8%,44.6%,22.4%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Joc Pederson,OF,TEX,3000,8.883956941933139,ML_Model,8.883956941933139,7.2,68.6%,44.5%,22.2%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Logan Davidson,1B,LAA,3000,8.846025889727748,ML_Model,8.846025889727748,1.5,68.5%,44.3%,22.1%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%
Ildemaro Vargas,1B,ARI,3100,8.792006440138277,ML_Model,8.792006440138277,1.5,68.2%,44.0%,21.9%,8.1%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%
Bryson Stott,2B,PHI,4300,8.78416573784404,ML_Model,8.78416573784404,7.3,68.2%,44.0%,21.9%,8.0%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%
Ramon Laureano,OF,SD,4300,8.7,PPG_Projection,8.7,8.7,,,,,,,,,,
Teoscar Hernandez,OF,LAD,4200,8.7,PPG_Projection,8.7,8.7,,,,,,,,,,
Thomas Saggese,2B,STL,2400,8.676149746874032,ML_Model,8.676149746874032,6.4,67.7%,43.4%,21.5%,7.8%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%
Kyle Manzardo,1B,CLE,4400,8.660718827660771,ML_Model,8.660718827660771,7.0,67.6%,43.4%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%
Jake Burger,1B,TEX,3700,8.641345075660116,ML_Model,8.641345075660116,8.3,67.6%,43.3%,21.3%,7.8%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
Manny Machado,3B,SD,5300,8.622542806748704,ML_Model,8.622542806748704,9.4,67.5%,43.2%,21.3%,7.7%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
Yandy Diaz,1B,TB,4600,8.6,PPG_Projection,8.6,8.6,,,,,,,,,,
Brice Turang,2B,MIL,4800,8.560006592138313,ML_Model,8.560006592138313,8.2,67.2%,42.9%,21.0%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
Jackson Holliday,2B,BAL,4600,8.542451839805592,ML_Model,8.542451839805592,7.8,67.1%,42.8%,21.0%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%
Jackson Merrill,OF,SD,4100,8.440483480567817,ML_Model,8.440483480567817,8.4,66.6%,42.3%,20.6%,7.4%,1.9%,0.4%,0.0%,0.0%,0.0%,0.0%
Jhonny Pereda,C,MIN,2300,8.435269577699012,ML_Model,8.435269577699012,4.6,66.6%,42.2%,20.6%,7.4%,1.9%,0.4%,0.0%,0.0%,0.0%,0.0%
Kyle Hendricks,P,LAA,5300,8.4,PPG_Projection,8.4,8.4,,,,,,,,,,
Miles Mikolas,P,STL,5600,8.4,PPG_Projection,8.4,8.4,,,,,,,,,,
Matt Chapman,3B,SF,4400,8.395789678617403,ML_Model,8.395789678617403,7.2,66.4%,42.1%,20.5%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Brayan Rocchio,2B,CLE,2200,8.388842050007357,ML_Model,8.388842050007357,4.9,66.4%,42.0%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Mason McCoy,SS,SD,2300,8.374440209432068,ML_Model,8.374440209432068,1.5,66.3%,41.9%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Giancarlo Stanton,OF,NYY,5200,8.361170438967076,ML_Model,8.361170438967076,8.6,66.3%,41.9%,20.3%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Alejandro Osuna,OF,TEX,2400,8.344646099141357,ML_Model,8.344646099141357,7.0,66.2%,41.8%,20.3%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%
Adolis Garcia,OF,TEX,4200,8.3,PPG_Projection,8.3,8.3,,,,,,,,,,
Byron Buxton,OF,MIN,5700,8.288740138456618,ML_Model,8.288740138456618,9.4,65.9%,41.5%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Jake Cronenworth,2B,SD,3700,8.271726531051597,ML_Model,8.271726531051597,7.6,65.9%,41.4%,20.0%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Zach Neto,SS,LAA,4400,8.232255875583563,ML_Model,8.232255875583563,1.5,65.7%,41.3%,19.9%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Alex Bregman,3B,BOS,4800,8.193401392017076,ML_Model,8.193401392017076,7.7,65.5%,41.1%,19.7%,7.0%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Jakob Marsee,OF,MIA,4500,8.162992544402032,ML_Model,8.162992544402032,8.3,65.4%,40.9%,19.6%,6.9%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%
Dominic Smith,1B,SF,3100,8.126836290161046,ML_Model,8.126836290161046,1.5,65.2%,40.7%,19.5%,6.9%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Kyle Farmer,1B,COL,3000,8.119319289458977,ML_Model,8.119319289458977,1.5,65.2%,40.7%,19.5%,6.9%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Chandler Simpson,OF,TB,4400,8.11365776686797,ML_Model,8.11365776686797,8.6,65.1%,40.7%,19.5%,6.9%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Christian Moore,2B,LAA,3700,8.090225088031925,ML_Model,8.090225088031925,9.5,65.0%,40.6%,19.4%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Evan Carter,OF,TEX,3900,8.089098767414225,ML_Model,8.089098767414225,1.5,65.0%,40.6%,19.4%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Everson Pereira,OF,TB,2500,8.072349083611389,ML_Model,8.072349083611389,6.5,65.0%,40.5%,19.3%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Michael Conforto,OF,LAD,3000,8.03898181992074,ML_Model,8.03898181992074,6.1,64.8%,40.3%,19.2%,6.7%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Agustin Ramirez,C,MIA,3800,8.0,PPG_Projection,8.0,8.0,,,,,,,,,,
Julio Rodriguez,OF,SEA,5500,8.0,PPG_Projection,8.0,8.0,,,,,,,,,,
Ryan McMahon,3B,NYY,3300,7.959275868734574,ML_Model,7.959275868734574,5.7,64.4%,39.9%,18.9%,6.6%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
Kyle Stowers,OF,MIA,5300,7.952294046523715,ML_Model,7.952294046523715,1.5,64.4%,39.9%,18.9%,6.6%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%
J.P. Crawford,SS,SEA,3400,7.936051992158204,ML_Model,7.936051992158204,5.5,64.3%,39.8%,18.9%,6.6%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
Nathan Church,OF,STL,2700,7.886580600948786,ML_Model,7.886580600948786,1.5,64.1%,39.6%,18.7%,6.5%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%
