Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Miguel Vargas,1B,CWS,3900,5.931612583213434,ML_Model,5.931612583213434,6.2,54.6%,30.6%,12.8%,3.9%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%
Carlos Narvaez,C,BOS,3400,5.9,PPG_Projection,5.9,5.9,,,,,,,,,,
Isaac Paredes,3B,HOU,3200,5.898190884589196,ML_Model,5.898190884589196,6.8,54.5%,30.4%,12.8%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Daniel Schneemann,2B,CLE,3500,5.872122705815216,ML_Model,5.872122705815216,6.5,54.3%,30.3%,12.7%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Rafael Devers,1B,SF,5400,5.867863216183368,ML_Model,5.867863216183368,7.5,54.3%,30.3%,12.7%,3.9%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Jonathan India,2B,KC,3200,5.839630255374536,ML_Model,5.839630255374536,1.5,54.2%,30.2%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dylan Beavers,OF,BAL,3100,5.837754796275364,ML_Model,5.837754796275364,1.5,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dylan Carlson,OF,BAL,2500,5.835302783795225,ML_Model,5.835302783795225,5.5,54.2%,30.1%,12.6%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Isaac Collins,OF,MIL,4100,5.788148545717707,ML_Model,5.788148545717707,7.2,53.9%,29.9%,12.5%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Anthony Volpe,SS,NYY,3700,5.775179746930752,ML_Model,5.775179746930752,6.7,53.9%,29.9%,12.4%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Max Muncy,3B,LAD,4500,5.736320381968824,ML_Model,5.736320381968824,7.8,53.7%,29.7%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Tommy Edman,2B,LAD,3900,5.711885095034611,ML_Model,5.711885095034611,7.5,53.5%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Luke Maile,C,KC,2200,5.706225454283874,ML_Model,5.706225454283874,1.5,53.5%,29.6%,12.3%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Dalton Rushing,C,LAD,2200,5.616995490671675,ML_Model,5.616995490671675,4.9,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Joey Ortiz,SS,MIL,3000,5.615992974038583,ML_Model,5.615992974038583,5.5,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Isiah Kiner-Falefa,3B,TOR,2100,5.612653467562009,ML_Model,5.612653467562009,5.8,53.1%,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
Casey Schmitt,2B,SF,3300,5.601229037361384,ML_Model,5.601229037361384,5.8,53.0%,29.1%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%
C.J. Kayfus,1B,CLE,3400,5.521657423085717,ML_Model,5.521657423085717,2.2,52.6%,28.8%,11.8%,3.5%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Pedro Pages,C,STL,2800,5.5,PPG_Projection,5.5,5.5,,,,,,,,,,
Steven Kwan,OF,CLE,3800,5.4676539709056335,ML_Model,5.4676539709056335,7.4,52.3%,28.6%,11.7%,3.5%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Alek Thomas,OF,ARI,2400,5.414698176481245,ML_Model,5.414698176481245,6.8,52.1%,28.3%,11.5%,3.4%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Michael Toglia,1B,COL,3000,5.301974987065116,ML_Model,5.301974987065116,1.5,51.5%,27.9%,11.3%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Joey Wiemer,OF,MIA,3000,5.287854194665107,ML_Model,5.287854194665107,6.2,51.4%,27.8%,11.2%,3.3%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Bryce Eldridge,1B,SF,2300,5.2,PPG_Projection,5.2,5.2,,,,,,,,,,
Will Robertson,OF,CWS,2100,5.191066286266873,ML_Model,5.191066286266873,1.5,51.0%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Rhys Hoskins,1B,MIL,3400,5.187485919447517,ML_Model,5.187485919447517,1.5,50.9%,27.4%,11.0%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Royce Lewis,3B,MIN,3400,5.162220298454376,ML_Model,5.162220298454376,7.0,50.8%,27.3%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Luis Rengifo,2B,LAA,3600,5.160519962759684,ML_Model,5.160519962759684,1.5,50.8%,27.3%,10.9%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler O'Neill,OF,BAL,4100,4.904676359536836,ML_Model,4.904676359536836,7.7,49.5%,26.2%,10.3%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Johan Rojas,OF,PHI,2100,4.805879562837545,ML_Model,4.805879562837545,1.5,49.0%,25.8%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Edgar Quero,C,CWS,3500,4.794499521960441,ML_Model,4.794499521960441,5.9,49.0%,25.8%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Jeremiah Jackson,3B,BAL,3900,4.778708927151662,ML_Model,4.778708927151662,6.2,48.9%,25.7%,10.1%,2.9%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Hunter Goodman,C,COL,5100,4.751476618743255,ML_Model,4.751476618743255,9.3,48.8%,25.6%,10.0%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Alec Burleson,1B,STL,4300,4.66230355165479,ML_Model,4.66230355165479,7.6,48.3%,25.2%,9.8%,2.8%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%
Steward Berroa,OF,MIL,2500,4.643687878662163,ML_Model,4.643687878662163,1.5,48.2%,25.2%,9.8%,2.7%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Masataka Yoshida,OF,BOS,3300,4.494764287394149,ML_Model,4.494764287394149,7.3,47.5%,24.6%,9.5%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Lourdes Gurriel Jr.,OF,ARI,3900,4.465090427883155,ML_Model,4.465090427883155,1.5,47.3%,24.5%,9.4%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Luis Matos,OF,SF,2900,4.438217777511259,ML_Model,4.438217777511259,1.5,47.2%,24.3%,9.3%,2.6%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
William Contreras,C,MIL,4900,4.386814816619308,ML_Model,4.386814816619308,7.7,46.9%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Gabriel Arias,SS,CLE,2600,4.371957527678795,ML_Model,4.371957527678795,6.1,46.9%,24.1%,9.2%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Josh Lowe,OF,TB,4100,4.336098899549757,ML_Model,4.336098899549757,6.4,46.7%,23.9%,9.1%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
J.C. Escarra,C,NYY,2400,4.253315820696948,ML_Model,4.253315820696948,1.5,46.3%,23.6%,9.0%,2.5%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Alex Call,OF,LAD,2900,4.190562310531474,ML_Model,4.190562310531474,1.5,46.0%,23.4%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler Locklear,1B,ARI,2200,4.185509502835837,ML_Model,4.185509502835837,1.5,45.9%,23.4%,8.8%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Nathaniel Lowe,1B,BOS,4200,4.139654793218368,ML_Model,4.139654793218368,7.3,45.7%,23.2%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Jorge Mateo,OF,BAL,2700,4.133556596688402,ML_Model,4.133556596688402,1.5,45.7%,23.2%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Brandon Lockridge,OF,MIL,2900,4.119275822592911,ML_Model,4.119275822592911,1.5,45.6%,23.1%,8.7%,2.4%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Ceddanne Rafaela,OF,BOS,3500,4.107174892479458,ML_Model,4.107174892479458,6.5,45.6%,23.1%,8.7%,2.3%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%
Paul Goldschmidt,1B,NYY,3400,4.093059686892114,ML_Model,4.093059686892114,1.5,45.5%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Leo Rivas,2B,SEA,3600,4.079021373316202,ML_Model,4.079021373316202,1.5,45.4%,23.0%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Bryan Ramos,3B,CWS,2600,4.0753815700561695,ML_Model,4.0753815700561695,1.5,45.4%,22.9%,8.6%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Jose Iglesias,SS,SD,2400,4.025886827078187,ML_Model,4.025886827078187,1.5,45.2%,22.8%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Trevor Larnach,OF,MIN,3800,4.0106684004182345,ML_Model,4.0106684004182345,6.9,45.1%,22.7%,8.5%,2.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Tyler Tolbert,OF,KC,2100,3.9491079828271927,ML_Model,3.9491079828271927,1.5,44.8%,22.5%,8.4%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Donovan Walton,2B,PHI,2200,3.945621636099694,ML_Model,3.945621636099694,1.5,44.8%,22.5%,8.4%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Maximo Acosta,2B,MIA,3300,3.9137446881460063,ML_Model,3.9137446881460063,1.5,44.6%,22.3%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Ketel Marte,2B,ARI,5800,3.911923927601847,ML_Model,3.911923927601847,9.7,44.6%,22.3%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Heliot Ramos,OF,SF,3800,3.904858099173822,ML_Model,3.904858099173822,6.7,44.6%,22.3%,8.3%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Brandon Lowe,2B,TB,5200,3.883749131636255,ML_Model,3.883749131636255,6.8,44.5%,22.2%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Travis d'Arnaud,C,LAA,3100,3.872065725469697,ML_Model,3.872065725469697,1.5,44.4%,22.2%,8.2%,2.2%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Nolan Arenado,3B,STL,3500,3.792935028007444,ML_Model,3.792935028007444,6.6,44.0%,21.9%,8.1%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Kyle Karros,3B,COL,3300,3.7466896444748095,ML_Model,3.7466896444748095,6.5,43.8%,21.7%,8.0%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Adam Frazier,2B,KC,3000,3.6925709845243686,ML_Model,3.6925709845243686,6.0,43.5%,21.5%,7.9%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Thairo Estrada,2B,COL,4400,3.689795260336103,ML_Model,3.689795260336103,1.5,43.5%,21.5%,7.9%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%
Nolan Gorman,1B,STL,3300,3.667408500361356,ML_Model,3.667408500361356,1.5,43.4%,21.4%,7.8%,2.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Ty France,1B,TOR,2600,3.576194881308543,ML_Model,3.576194881308543,6.4,42.9%,21.1%,7.7%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Yordan Alvarez,OF,HOU,4600,3.575718185467741,ML_Model,3.575718185467741,1.5,42.9%,21.1%,7.7%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Adrian Del Castillo,C,ARI,2700,3.5660253172997374,ML_Model,3.5660253172997374,1.5,42.9%,21.1%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Alejandro Kirk,C,TOR,3600,3.555519697008037,ML_Model,3.555519697008037,7.0,42.8%,21.0%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Richie Palacios,1B,TB,3200,3.541721133049647,ML_Model,3.541721133049647,1.5,42.8%,21.0%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Trent Grisham,OF,NYY,4500,3.5270571231223107,ML_Model,3.5270571231223107,7.4,42.7%,20.9%,7.6%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Josh Jung,3B,TEX,3500,3.504501668964181,ML_Model,3.504501668964181,7.4,42.6%,20.8%,7.5%,2.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Brenton Doyle,OF,COL,3800,3.464621158727988,ML_Model,3.464621158727988,8.6,42.4%,20.7%,7.5%,1.9%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%
Samuel Basallo,C,BAL,3000,3.391501390388744,ML_Model,3.391501390388744,1.5,42.0%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Aaron Judge,OF,NYY,6500,3.3804490833537355,ML_Model,3.3804490833537355,11.8,42.0%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Javier Sanoja,2B,MIA,2900,3.370518839670183,ML_Model,3.370518839670183,1.5,41.9%,20.4%,7.3%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Mike Tauchman,OF,CWS,3700,3.3298335235221725,ML_Model,3.3298335235221725,6.9,41.7%,20.2%,7.2%,1.9%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Liam Hicks,1B,MIA,2600,3.296263287329569,ML_Model,3.296263287329569,1.5,41.6%,20.1%,7.2%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Kyle Higashioka,C,TEX,3100,3.2643877625697,ML_Model,3.2643877625697,1.5,41.4%,20.0%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Pavin Smith,1B,ARI,2900,3.2340561904624585,ML_Model,3.2340561904624585,1.5,41.3%,19.9%,7.1%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Ryan Mountcastle,1B,BAL,2800,3.1775994692176988,ML_Model,3.1775994692176988,7.4,41.0%,19.7%,7.0%,1.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Jonah Heim,C,TEX,2600,3.1188705779696826,ML_Model,3.1188705779696826,6.3,40.7%,19.5%,6.9%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Dylan Moore,2B,TEX,2800,3.1033923156237955,ML_Model,3.1033923156237955,1.5,40.6%,19.4%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Alec Bohm,3B,PHI,3200,3.098061155972989,ML_Model,3.098061155972989,7.1,40.6%,19.4%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Adley Rutschman,C,BAL,3700,3.077375125048649,ML_Model,3.077375125048649,1.5,40.5%,19.3%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Ben Williamson,3B,SEA,2700,3.067269364641521,ML_Model,3.067269364641521,1.5,40.5%,19.3%,6.8%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Ryan O'Hearn,1B,SD,3800,3.0299061335351096,ML_Model,3.0299061335351096,7.9,40.3%,19.2%,6.7%,1.7%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Grant McCray,OF,SF,2200,2.9312584599584754,ML_Model,2.9312584599584754,1.5,39.8%,18.8%,6.6%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Esteury Ruiz,OF,LAD,2400,2.806484398638825,ML_Model,2.806484398638825,1.5,39.2%,18.4%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Brooks Lee,SS,MIN,3100,2.5998557780380858,ML_Model,2.5998557780380858,2.3,38.2%,17.7%,6.1%,1.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Logan O'Hoppe,C,LAA,3900,2.5306850924574267,ML_Model,2.5306850924574267,7.5,37.9%,17.5%,6.0%,1.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
Victor Scott II,OF,STL,2600,2.2518454610186094,ML_Model,2.2518454610186094,6.2,36.6%,16.6%,5.6%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
Austin Slater,OF,NYY,3200,1.974735015278981,ML_Model,1.974735015278981,1.5,35.3%,15.8%,5.2%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
George Valera,OF,CLE,2300,1.9538083962775656,ML_Model,1.9538083962775656,5.5,35.2%,15.7%,5.1%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
Ramon Urias,2B,HOU,2700,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Yanquiel Fernandez,OF,COL,2900,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Cal Stevenson,OF,PHI,2300,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Jasson Dominguez,OF,NYY,3800,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Rafael Marchan,C,PHI,2100,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Garrett Mitchell,OF,MIL,3300,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Carson McCusker,OF,MIN,2000,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Gary Sanchez,C,BAL,2700,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Luis Vazquez,2B,BAL,2100,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Zac Veen,OF,COL,2300,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Kameron Misner,OF,TB,2700,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Mauricio Dubon,2B,HOU,2300,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Oswaldo Cabrera,3B,NYY,2800,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Jose Caballero,3B,NYY,4200,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Zach Dezenzo,OF,HOU,2400,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Carter Kieboom,3B,LAA,2800,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Kike Hernandez,3B,LAD,2800,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Griffin Conine,OF,MIA,2900,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Rhylan Thomas,OF,SEA,2400,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Elias Diaz,C,SD,2200,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Ryan Bliss,2B,SEA,2100,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Chuckie Robinson,C,LAD,2200,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Jose Fermin,2B,STL,2500,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Sebastian Rivero,C,LAA,2900,1.5,PPG_Projection,1.5,1.5,,,,,,,,,,
Drew Waters,OF,KC,2900,0.7685707984187687,ML_Model,0.7685707984187687,1.5,29.8%,12.4%,3.8%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Brian Navarreto,C,MIA,2100,0.6180206401810406,ML_Model,0.6180206401810406,1.5,29.2%,12.0%,3.6%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Dustin Harris,OF,TEX,2900,0.4444761465711353,ML_Model,0.4444761465711353,1.5,28.5%,11.6%,3.4%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Carson Williams,SS,TB,3100,0.2172012909622183,ML_Model,0.2172012909622183,6.8,27.5%,11.1%,3.2%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Adael Amador,2B,COL,2200,0.0,ML_Model,0.0,1.5,26.6%,10.6%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Korey Lee,C,CWS,2500,0.0,ML_Model,0.0,1.5,26.6%,10.6%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
